Team,GP,points,c,year
Sauber,United States ,8.0,#9B0000,2013
McLaren,United States ,7.0,#FF8000,2013
Williams,United States ,4.0,#005AFF,2013
Toro Rosso,United States ,0.0,#469BFF,2013
Force India,United States ,0.0,#F596C8,2013
Marussia,United States ,0.0,#6E0000,2013
Caterham,United States ,0.0,white,2013
Red Bull,Brazilian ,43.0,#121F45,2013
Ferrari,Brazilian ,21.0,#A6051A,2013
McLaren,Brazilian ,20.0,#FF8000,2013
Mercedes,Brazilian ,12.0,#00A19C,2013
Sauber,Brazilian ,4.0,#9B0000,2013
Toro Rosso,Brazilian ,1.0,#469BFF,2013
Force India,Brazilian ,0.0,#F596C8,2013
Lotus F1,Brazilian ,0.0,#FFB800,2013
Williams,Brazilian ,0.0,#005AFF,2013
Marussia,Brazilian ,0.0,#6E0000,2013
Caterham,Brazilian ,0.0,white,2013
